house_id,house_location,house_type,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
64,Moreton_Bay_Mixed,R1,10,52.96778,0.9,8.452174,2.527652,3.343884,134.197814,175.048651,1.304408,12.693805,13.790085,1.086363,3,0.111428,0.492545,0,0.396027,0
65,Moreton_Bay_Mixed,R1,10,46.091312,0.9,7.909921,1.935262,4.087262,104.466594,132.76993,1.270932,11.447741,11.597915,1.013118,4,0.133167,0.418765,0,0.448068,0
66,Moreton_Bay_Mixed,R1,6,44.653352,1,10.247042,4.637409,2.209648,114.69139,122.120911,1.064778,12.744225,9.582451,1.329955,2,0,0,0.477979,0,0.522021
67,Moreton_Bay_Mixed,R1,6,48.102517,1,11.362416,4.671756,2.432151,125.668017,144.613522,1.150758,12.072919,11.97834,1.007896,4,0.373738,0,0.300671,0.325591,0
68,Moreton_Bay_Mixed,R1,8,52.372111,0.875,11.488324,2.811908,4.085597,140.663726,164.051712,1.166269,15.862218,10.342293,1.533723,4,0.327918,0,0.318671,0,0.353445
69,Moreton_Bay_Mixed,R1,10,54.260444,0.9,8.350344,1.996738,4.181992,150.997643,180.459385,1.195114,11.68021,15.450013,1.322751,3,0.140039,0.438753,0,0.421208,0
70,Moreton_Bay_Mixed,R1,10,64.426256,0.9,9.77099,3.020079,3.235343,200.10258,252.220209,1.260455,18.790069,13.423059,1.399835,4,0.222917,0,0.351946,0,0.425137
71,Moreton_Bay_Mixed,R1,8,53.286073,1,10.792548,2.016805,5.351309,161.366727,175.102033,1.085119,14.858013,11.785023,1.260754,4,0.259827,0,0.342332,0,0.39784
72,Moreton_Bay_Mixed,R1,10,60.930983,0.9,11.620308,2.611797,4.449163,173.662712,229.764456,1.32305,16.740091,13.725401,1.219643,5,0.375236,0,0.319605,0,0.305159
73,Moreton_Bay_Mixed,R1,6,40.250484,1,9.325587,4.091241,2.279403,93.682332,99.380033,1.060819,11.432406,8.692837,1.315152,2,0,0,0.481786,0.518214,0
74,Moreton_Bay_Mixed,R1,6,54.051957,1,12.380336,5.636983,2.19627,163.173026,179.928114,1.102683,15.147848,11.87813,1.275272,4,0.340766,0,0.298672,0,0.360562
