house_id,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_rotation,vector,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,house_type
207,8,60.663999999999994,1,13.835999999999999,1.766,7.832999999999999,219.17700000000002,233.166,1.064,74.0,0.961,15.783,14.773,1.068,R2
208,10,60.345,1,10.770999999999999,1.405,7.667000000000001,162.365,205.392,1.265,-80.0,-0.985,19.9,10.321,1.9280000000000002,R2
209,10,59.598,1,10.28,2.168,4.742,159.52200000000002,223.993,1.4040000000000001,12.0,0.20800000000000002,16.142,13.877,1.163,R2
210,10,60.716,1,9.48,2.324,4.079,180.18900000000002,230.247,1.278,74.0,0.961,17.201,13.386,1.285,R2
211,16,78.832,1,10.272,0.5329999999999999,19.265,259.347,307.084,1.1840000000000002,-72.0,-0.951,28.087,10.933,2.569,R2
212,6,48.655,1,10.970999999999998,5.247999999999999,2.0909999999999997,126.585,150.863,1.192,10.0,0.174,12.995,11.609000000000002,1.119,R2
213,10,78.648,1,14.132,2.397,5.896,286.35200000000003,391.277,1.3659999999999999,54.0,0.809,19.921,19.642,1.014,R2
214,16,75.18,1,8.14,1.304,6.242000000000001,169.543,306.901,1.81,44.0,0.695,19.028,16.129,1.18,R2
216,8,49.82899999999999,1,8.812999999999999,3.312,2.661,131.734,154.974,1.176,-66.0,-0.914,13.477,11.499,1.172,R2
217,14,68.265,1,9.832,1.193,8.242,189.40599999999998,249.93099999999998,1.32,-10.0,-0.174,21.244,11.765,1.806,R2
219,10,49.773999999999994,1,8.947000000000001,1.7269999999999999,5.181,108.0,152.82,1.415,-52.0,-0.7879999999999999,14.684000000000001,10.407,1.411,R2
220,14,74.205,1,13.335999999999999,0.973,13.71,294.567,335.41900000000004,1.139,42.0,0.669,21.36,15.703,1.36,R2
222,8,68.73100000000001,1,11.011,5.791,1.902,273.2,377.309,1.381,-86.0,-0.998,20.018,18.848,1.062,R2
224,8,47.795,1,10.302,1.719,5.992000000000001,125.345,141.84,1.1320000000000001,-34.0,-0.5589999999999999,14.155999999999999,10.02,1.413,R2
225,4,43.052,1,11.259,10.244000000000002,1.099,113.619,114.499,1.008,-80.0,-0.985,12.32,9.294,1.3259999999999998,R2
226,14,58.416000000000004,1,10.105,0.413,24.439,171.822,204.386,1.19,-74.0,-0.961,15.117,13.52,1.1179999999999999,R2
227,8,58.236999999999995,1,12.020999999999999,2.842,4.23,169.875,207.555,1.222,-34.0,-0.5589999999999999,16.756,12.387,1.3530000000000002,R2
229,4,81.497,1,24.223000000000003,16.569000000000003,1.462,289.291,302.714,1.046,62.0,0.883,31.781999999999996,9.525,3.3369999999999997,R2
231,12,67.187,1,11.02,0.9490000000000001,11.617,250.262,284.04400000000004,1.135,-80.0,-0.985,16.884,16.823,1.004,R2
232,4,46.108999999999995,1,11.765,11.262,1.045,132.364,133.586,1.0090000000000001,-80.0,-0.985,12.323,10.841,1.137,R2
234,6,60.248999999999995,1,13.722999999999999,6.36,2.158,193.26,233.956,1.2109999999999999,-66.0,-0.914,15.835,14.775,1.072,R2
236,16,78.283,1,8.552,0.718,11.912,183.75,291.594,1.587,-44.0,-0.695,21.497,13.564,1.585,R2
237,8,41.672,1,8.429,1.534,5.495,98.321,109.43299999999999,1.113,-82.0,-0.99,11.972000000000001,9.14,1.31,R2
238,12,53.958,1,10.452,0.408,25.623,146.363,170.326,1.1640000000000001,8.0,0.139,16.361,10.411,1.5719999999999998,R2
239,9,54.215,1,10.897,1.82,5.9879999999999995,164.555,192.812,1.172,6.0,0.105,14.999,12.855,1.167,R2
240,10,65.382,1,12.503,2.414,5.178999999999999,167.21200000000002,248.335,1.485,6.0,0.105,20.976999999999997,11.838,1.7719999999999998,R2
241,4,48.343,1,14.029000000000002,10.135,1.3840000000000001,112.083,116.445,1.0390000000000001,8.0,0.139,17.969,6.48,2.773,R2
242,8,54.68899999999999,1,10.79,3.313,3.2569999999999997,160.105,188.21099999999998,1.176,-52.0,-0.7879999999999999,15.065999999999999,12.493,1.206,R2
244,4,39.422,1,10.699000000000002,9.01,1.187,90.73,90.93299999999999,1.002,-80.0,-0.985,12.395999999999999,7.335,1.69,R2
246,12,55.593,1,9.138,1.2409999999999999,7.364,133.648,163.886,1.226,10.0,0.174,14.155999999999999,11.577,1.2229999999999999,R2
248,12,56.24,1,9.275,0.907,10.221,155.64600000000002,190.64700000000002,1.225,8.0,0.139,14.276,13.355,1.069,R2
250,12,71.39699999999999,1,11.190999999999999,2.986,3.748,236.403,332.728,1.4069999999999998,42.0,0.669,20.309,16.384,1.24,R2
251,6,58.619,1,13.174000000000001,6.365,2.07,181.778,216.873,1.193,-58.0,-0.848,16.340999999999998,13.272,1.2309999999999999,R2
254,12,63.04600000000001,1,10.475,0.622,16.852,205.275,249.65,1.216,-34.0,-0.5589999999999999,17.317999999999998,14.415999999999999,1.2009999999999998,R2
255,12,52.001999999999995,1,8.629,0.736,11.718,146.665,169.122,1.153,14.0,0.242,14.709000000000001,11.498,1.2790000000000001,R2
257,8,67.384,1,15.238,1.726,8.826,263.323,291.091,1.105,66.0,0.914,17.39,16.739,1.0390000000000001,R2
258,10,65.836,1,13.550999999999998,1.229,11.03,248.614,273.63,1.101,82.0,0.99,17.351,15.77,1.1,R2
259,12,59.505,1,10.242,1.8530000000000002,5.528,175.282,222.08700000000002,1.2670000000000001,2.0,0.035,16.151,13.751,1.175,R2
260,12,59.648,1,10.966,1.23,8.917,168.81900000000002,192.765,1.1420000000000001,90.0,1.0,18.059,10.674000000000001,1.692,R2
262,6,49.023999999999994,1,11.088,5.252999999999999,2.1109999999999998,129.246,152.535,1.18,-20.0,-0.342,13.345,11.431,1.167,R2
